"filename", "language", "Python", "Django txt", "Markdown", "comment", "blank", "total"
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\ALGORITHM.md", "Markdown", 0, 0, 17, 0, 7, 24
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\AdminMenu.py", "Python", 2, 0, 0, 1, 1, 4
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\AdvancedSettings.py", "Python", 667, 0, 0, 7, 15, 689
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\Login.py", "Python", 26, 0, 0, 12, 16, 54
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\OutputTest.py", "Python", 206, 0, 0, 7, 11, 224
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\basicsettings.py", "Python", 308, 0, 0, 7, 12, 327
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\calibration.py", "Python", 461, 0, 0, 7, 11, 479
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\mainwindow.py", "Python", 235, 0, 0, 7, 12, 254
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI\startstop.py", "Python", 53, 0, 0, 8, 9, 70
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\AdvancedSettings.py", "Python", 667, 0, 0, 7, 15, 689
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\Login.py", "Python", 26, 0, 0, 12, 16, 54
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\OutputTest.py", "Python", 215, 0, 0, 7, 12, 234
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\basicsettings.py", "Python", 308, 0, 0, 7, 12, 327
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\calibration.py", "Python", 461, 0, 0, 7, 11, 479
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\mainwindow.py", "Python", 235, 0, 0, 7, 12, 254
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\GUI_pi\startstop.py", "Python", 53, 0, 0, 8, 9, 70
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\MainMenu.py", "Python", 11, 0, 0, 0, 2, 13
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\PARTDESCRIPTIONS.md", "Markdown", 0, 0, 24, 0, 4, 28
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\README.md", "Markdown", 0, 0, 19, 0, 4, 23
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\SensorsActuators\Actuators.py", "Python", 93, 0, 0, 10, 20, 123
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\SensorsActuators\Sensors.py", "Python", 101, 0, 0, 19, 28, 148
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\SensorsActuators\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Settings\AdminSettings.py", "Python", 8, 0, 0, 4, 4, 16
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Settings\Alarms.py", "Python", 27, 0, 0, 3, 8, 38
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Settings\DataLogs.py", "Python", 18, 0, 0, 2, 5, 25
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Settings\Login.py", "Python", 87, 0, 0, 7, 19, 113
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Settings\UserSettings.py", "Python", 144, 0, 0, 0, 35, 179
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\Tanks.py", "Python", 204, 0, 0, 21, 38, 263
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\app.py", "Python", 9, 0, 0, 4, 4, 17
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\app_ui.py", "Python", 64, 0, 0, 0, 14, 78
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\functions.py", "Python", 6, 0, 0, 3, 6, 15
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\requirements.txt", "Django txt", 0, 4, 0, 0, 0, 4
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\tankresources_rc.py", "Python", 9820, 0, 0, 6, 11, 9837
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\test1.py", "Python", 6, 0, 0, 1, 1, 8
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\test2.py", "Python", 22, 0, 0, 1, 7, 30
"g:\CODINGLAB\VSCODE\RASPI_OXYGEN_PLANT\test3.py", "Python", 12, 0, 0, 0, 2, 14
"Total", "-", 14555, 4, 60, 192, 394, 15205
